h,ansatz,abs_E_error
0.03535353535353535,StronglyEntangling (random),0.0009840711321125184
0.03535353535353535,HVA + warm-start,0.01760891959220867
0.03535353535353535,QAOA (anneal) + warm-start,0.009279734636431947
0.3181818181818182,StronglyEntangling (random),0.08699019571145783
0.3181818181818182,HVA + warm-start,0.018618671200812287
0.3181818181818182,QAOA (anneal) + warm-start,0.024420237770153896
0.6363636363636364,StronglyEntangling (random),0.2678637520635512
0.6363636363636364,HVA + warm-start,0.12018710662932719
0.6363636363636364,QAOA (anneal) + warm-start,0.01646938562216782
0.9545454545454545,StronglyEntangling (random),0.954454407410827
0.9545454545454545,HVA + warm-start,0.03520949696293485
0.9545454545454545,QAOA (anneal) + warm-start,0.02156332960289653
1.2727272727272727,StronglyEntangling (random),1.5646980846319671
1.2727272727272727,HVA + warm-start,0.022379014454871893
1.2727272727272727,QAOA (anneal) + warm-start,0.01564290561435655
1.5909090909090908,StronglyEntangling (random),0.4379533348762994
1.5909090909090908,HVA + warm-start,0.010277906479545962
1.5909090909090908,QAOA (anneal) + warm-start,0.009739370787444912
1.909090909090909,StronglyEntangling (random),0.4472695330484626
1.909090909090909,HVA + warm-start,0.004874433901363773
1.909090909090909,QAOA (anneal) + warm-start,0.003478628001012396
2.227272727272727,StronglyEntangling (random),0.48749920145679226
2.227272727272727,HVA + warm-start,0.002653705204927803
2.227272727272727,QAOA (anneal) + warm-start,0.0029048346274258563
2.5454545454545454,StronglyEntangling (random),0.1854569803850552
2.5454545454545454,HVA + warm-start,0.0014471772544375483
2.5454545454545454,QAOA (anneal) + warm-start,0.0014123015221407798
2.8636363636363633,StronglyEntangling (random),0.466312072832725
2.8636363636363633,HVA + warm-start,0.0008218313097962948
2.8636363636363633,QAOA (anneal) + warm-start,0.004563049690261778
3.1818181818181817,StronglyEntangling (random),0.2155689972300152
3.1818181818181817,HVA + warm-start,0.00047485126287227786
3.1818181818181817,QAOA (anneal) + warm-start,0.0005120993569427412
3.5,StronglyEntangling (random),0.22716730584032163
3.5,HVA + warm-start,0.0017053888743454593
3.5,QAOA (anneal) + warm-start,0.005443485597673714
